trip_id,arrival_time,departure_time,stop_id,stop_sequence
WF_4,10:08:00,10:08:00,18,5
WF_4,10:09:00,10:09:00,19,6
WF_4,10:10:00,10:10:00,20,7
WF_4,10:12:00,10:12:00,21,8
WF_4,10:13:00,10:13:00,22,9
WF_4,10:14:00,10:14:00,23,10
WF_4,10:15:00,10:15:00,24,11
WF_4,10:16:00,10:16:00,25,12
WF_4,10:17:00,10:17:00,26,13
WF_4,10:18:00,10:18:00,27_92,14
WF_4,10:20:00,10:20:00,28,15
WF_4,10:22:00,10:22:00,29_88,16
WF_4,10:24:00,10:24:00,30,17
WF_4,10:26:00,10:26:00,31,18
WF_4,10:38:00,10:38:00,32,19
WF_4,10:39:00,10:39:00,33,20
WF_4,10:40:00,10:40:00,34,21
WF_4,10:46:00,10:46:00,35_80,22
WF_4,10:57:00,10:57:00,36,23
WF_4,11:01:00,11:01:00,37,24
WF_4,11:07:00,11:07:00,38_73,25
WF_4,11:16:00,11:16:00,40_71,26
WF_4,11:20:00,11:20:00,41_68,27
WF_4,11:22:00,11:22:00,42,28
WF_4,11:25:00,11:25:00,43_67,29
WF_4,11:32:00,11:32:00,44_66,30
WF_4,11:33:00,11:33:00,46,31
WF_4,11:34:00,11:34:00,47,32
WF_4,11:35:00,11:35:00,45,33
WF_4,11:41:00,11:41:00,48_65,34
WF_4,11:42:00,11:42:00,49_64,35
WF_4,11:49:00,11:49:00,50_63,36
WF_4,11:50:00,11:50:00,51,37
WF_4,11:51:00,11:51:00,53_60,38
WF_4,11:56:00,11:56:00,54_59,39
WF_4,12:00:00,12:00:00,55_58,40
WF_4,12:08:00,12:08:00,56,41
WF_5,11:00:00,11:00:00,106_171,1
WF_5,11:05:00,11:05:00,14,2
WF_5,11:06:00,11:06:00,16,3
WF_5,11:07:00,11:07:00,17,4
WF_5,11:08:00,11:08:00,18,5
WF_5,11:09:00,11:09:00,19,6
WF_5,11:10:00,11:10:00,20,7
WF_5,11:12:00,11:12:00,21,8
WF_5,11:13:00,11:13:00,22,9
WF_5,11:14:00,11:14:00,23,10
WF_5,11:15:00,11:15:00,24,11
WF_5,11:16:00,11:16:00,25,12
WF_5,11:17:00,11:17:00,26,13
WF_5,11:18:00,11:18:00,27_92,14
WF_5,11:20:00,11:20:00,28,15
WF_5,11:22:00,11:22:00,29_88,16
WF_5,11:24:00,11:24:00,30,17
WF_5,11:26:00,11:26:00,31,18
WF_5,11:38:00,11:38:00,32,19
